metric,topic,start_len,end_len,word_range,auc_RealSessions_A1171IQSWQS0K8,auc_RealSessions_A3K2VSBTT3WUTI,auc_RealSessions_A17TKHT8FEVH0R,auc_RealSessions_A1ZB2NY0F9QNP0,auc_RealSessions_AJQGWGESKQT4Y,auc_RealSessions_A3GWRDHAURRNK6,auc_RealSessions_A1A1ZXUVSV4YR8,auc_RealSessions_AVBRJBJONL47I,auc_topic,aucNorm_RealSessions_A1171IQSWQS0K8,aucNorm_RealSessions_A3K2VSBTT3WUTI,aucNorm_RealSessions_A17TKHT8FEVH0R,aucNorm_RealSessions_A1ZB2NY0F9QNP0,aucNorm_RealSessions_AJQGWGESKQT4Y,aucNorm_RealSessions_A3GWRDHAURRNK6,aucNorm_RealSessions_A1A1ZXUVSV4YR8,aucNorm_RealSessions_AVBRJBJONL47I,score_limit,limit_wordCount_RealSessions_A1171IQSWQS0K8,limit_wordCount_RealSessions_A3K2VSBTT3WUTI,limit_wordCount_RealSessions_A17TKHT8FEVH0R,limit_wordCount_RealSessions_A1ZB2NY0F9QNP0,limit_wordCount_RealSessions_AJQGWGESKQT4Y,limit_wordCount_RealSessions_A3GWRDHAURRNK6,limit_wordCount_RealSessions_A1A1ZXUVSV4YR8,limit_wordCount_RealSessions_AVBRJBJONL47I,limit_wordCount_topic,limit_relativeWordCount_RealSessions_A1171IQSWQS0K8,limit_relativeWordCount_RealSessions_A3K2VSBTT3WUTI,limit_relativeWordCount_RealSessions_A17TKHT8FEVH0R,limit_relativeWordCount_RealSessions_A1ZB2NY0F9QNP0,limit_relativeWordCount_RealSessions_AJQGWGESKQT4Y,limit_relativeWordCount_RealSessions_A3GWRDHAURRNK6,limit_relativeWordCount_RealSessions_A1A1ZXUVSV4YR8,limit_relativeWordCount_RealSessions_AVBRJBJONL47I,wordcount_limit_-inf,limit_F1score_RealSessions_A1171IQSWQS0K8_-inf,limit_F1score_RealSessions_A3K2VSBTT3WUTI_-inf,limit_F1score_RealSessions_A17TKHT8FEVH0R_-inf,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_-inf,limit_F1score_RealSessions_AJQGWGESKQT4Y_-inf,limit_F1score_RealSessions_A3GWRDHAURRNK6_-inf,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_-inf,limit_F1score_RealSessions_AVBRJBJONL47I_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_RealSessions_A1171IQSWQS0K8_100,limit_F1score_RealSessions_A3K2VSBTT3WUTI_100,limit_F1score_RealSessions_A17TKHT8FEVH0R_100,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_100,limit_F1score_RealSessions_AJQGWGESKQT4Y_100,limit_F1score_RealSessions_A3GWRDHAURRNK6_100,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_100,limit_F1score_RealSessions_AVBRJBJONL47I_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_RealSessions_A1171IQSWQS0K8_150,limit_F1score_RealSessions_A3K2VSBTT3WUTI_150,limit_F1score_RealSessions_A17TKHT8FEVH0R_150,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_150,limit_F1score_RealSessions_AJQGWGESKQT4Y_150,limit_F1score_RealSessions_A3GWRDHAURRNK6_150,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_150,limit_F1score_RealSessions_AVBRJBJONL47I_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_RealSessions_A1171IQSWQS0K8_250,limit_F1score_RealSessions_A3K2VSBTT3WUTI_250,limit_F1score_RealSessions_A17TKHT8FEVH0R_250,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_250,limit_F1score_RealSessions_AJQGWGESKQT4Y_250,limit_F1score_RealSessions_A3GWRDHAURRNK6_250,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_250,limit_F1score_RealSessions_AVBRJBJONL47I_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_RealSessions_A1171IQSWQS0K8_350,limit_F1score_RealSessions_A3K2VSBTT3WUTI_350,limit_F1score_RealSessions_A17TKHT8FEVH0R_350,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_350,limit_F1score_RealSessions_AJQGWGESKQT4Y_350,limit_F1score_RealSessions_A3GWRDHAURRNK6_350,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_350,limit_F1score_RealSessions_AVBRJBJONL47I_350,limit_F1score_avg_350
R1,D0601,105,333,228,66.77853209,72.50839908,67.66221317,66.76180878,,,,,68.42773828,0.292888299,0.318019294,0.296764093,0.292814951,,,,,0.37,,227.7392179,334.3415083,,,,,,281.0403631,1,0.199914271,0.382652555,1,1,1,1,1,#NAME?,0.22239,0.22239,0.22239,0.22239,,,,,0.22239,100,0.24134,0.235485,0.24533,0.239043,,,,,0.2402995,150,0.309018571,0.291557143,0.299768846,0.299840769,,,,,0.300046332,250,0.337249,0.394296829,0.344854348,0.326161,,,,,0.350640294,350,0.328688974,0.387120909,0.37638475,0.35865,,,,,0.362711158
R1,D0603,105,333,228,80.42228857,78.24878092,80.30908441,74.79294836,,,,,78.44327556,0.352729336,0.343196408,0.352232826,0.328039247,,,,,0.37,168.6400966,176.613847,180.1106682,210.5737374,,,,,183.9845873,0.343686653,0.127655337,0.197825685,0.162373104,1,1,1,1,#NAME?,0.21358,0.21358,0.21358,0.21358,,,,,0.21358,100,0.25234,0.25234,0.24671125,0.246752449,,,,,0.249535925,150,0.342763529,0.337764561,0.328964419,0.329917097,,,,,0.334852402,250,0.424147143,0.406854889,0.427042759,0.390780465,,,,,0.412206314,350,,0.4136404,0.434054444,0.41077,,,,,0.419488281
R1,D0605,105,333,228,66.47454852,66.59460355,68.93154693,66.80481111,,,,,67.20137753,0.291555037,0.292081594,0.302331346,0.293003557,,,,,0.37,,321.499678,293.8181818,271.6860521,,,,,295.6679707,1,0.4257879,0.500789533,0.39404836,1,1,1,1,#NAME?,0.20498,0.20498,0.20498,0.20498,,,,,0.20498,100,0.215111613,0.215111613,0.217944528,0.215111613,,,,,0.215819842,150,0.28123,0.28123,0.297115588,0.266345161,,,,,0.281480187,250,0.354474828,0.349521463,0.363965897,0.353043962,,,,,0.355251538,350,0.35648871,0.375458113,0.370079167,0.383405714,,,,,0.371357926
R1,D0608,105,333,228,68.70809901,71.68456991,63.54863473,66.14522,,,,,67.52163091,0.301351311,0.314406008,0.278722082,0.290110614,,,,,0.37,,,,,,,,,nan,1,1,1,1,1,1,1,1,#NAME?,0.22172,0.22172,0.22172,0.22172,,,,,0.22172,100,0.237320682,0.233479211,0.2332976,0.227171,,,,,0.232817123,150,0.305605385,0.301645854,0.28902875,0.262623171,,,,,0.28972579,250,0.348715714,0.36766,0.325852826,0.35364,,,,,0.348967135,350,0.357981304,0.365596667,0.328062712,0.368979512,,,,,0.355155049
R1,D0614,105,333,228,83.4301357,86.71738346,78.72947553,83.0636454,,,,,82.98516002,0.365921648,0.380339401,0.345304717,0.364314234,,,,,0.37,152.3172456,139.6949841,217.1461558,167.3910361,,,,,169.1373554,0.197866393,0.091838739,0.180997395,0.14762907,1,1,1,1,#NAME?,0.27143,0.27143,0.27143,0.27143,,,,,0.27143,100,0.291318431,0.293684571,0.291385294,0.287842759,,,,,0.291057764,150,0.368803492,0.388226667,0.34680125,0.350528364,,,,,0.363589943,250,0.422454694,0.437186,0.405965833,0.429655122,,,,,0.423815412,350,0.429350909,0.456165897,0.412089615,0.437365128,,,,,0.433742888
R1,D0615,105,333,228,67.77922436,68.16359898,67.79590228,69.95523509,,,,,68.42349018,0.2972773,0.298963153,0.297350449,0.306821207,,,,,0.37,,,,222.5757576,,,,,222.5757576,1,1,1,0.187435715,1,1,1,1,#NAME?,0.20813,0.20813,0.20813,0.20813,,,,,0.20813,100,0.247595517,0.236617586,0.23382,0.236617586,,,,,0.238662672,150,0.317734,0.298224828,0.296713684,0.298224828,,,,,0.302724335,250,0.345447027,0.349901667,0.35593569,0.3722625,,,,,0.355886721,350,0.351925385,0.36554087,0.35842619,0.357413529,,,,,0.358326494
R1,D0616,105,333,228,79.21699287,83.24608448,80.19017814,80.75762735,,,,,80.85272071,0.347442951,0.365114406,0.351711308,0.35420012,,,,,0.37,169.5669849,153.8102301,167.4619275,155.6550436,,,,,161.6235465,0.220731466,0.138779936,0.153545846,0.107856058,1,1,1,1,#NAME?,0.25811,0.25811,0.25811,0.25811,,,,,0.25811,100,0.274485957,0.278409231,0.2754955,0.282793043,,,,,0.277795933,150,0.345563846,0.363725577,0.350689615,0.364954444,,,,,0.356233371,250,0.404120635,0.431923023,0.420729545,0.419149394,,,,,0.418980649,350,0.422168261,0.429177222,0.416462903,0.409441818,,,,,0.419312551
R1,D0617,105,333,228,72.78367282,72.70199424,73.57084979,76.86742842,,,,,73.98098632,0.319226635,0.318868396,0.322679166,0.337137844,,,,,0.37,216.554954,270.4710145,207.5932244,213.1849116,,,,,226.9510261,0.334683586,0.384479949,0.231699503,0.237075816,1,1,1,1,#NAME?,0.22888,0.22888,0.22888,0.22888,,,,,0.22888,100,0.254302353,0.261822368,0.27151,0.262371379,,,,,0.262501525,150,0.314575667,0.33249,0.335100256,0.334061842,,,,,0.329056941,250,0.375837826,0.367077586,0.384563115,0.40499,,,,,0.383117132,350,0.396403051,0.372639796,0.35777,0.404298113,,,,,0.38277774
R1,D0620,105,333,228,69.59091576,70.05966982,68.94276315,69.57392918,,,,,69.54181948,0.305223315,0.307279254,0.30238054,0.305148812,,,,,0.37,,,,,,,,,nan,1,1,1,1,1,1,1,1,#NAME?,0.27292,0.27292,0.27292,0.27292,,,,,0.27292,100,0.2764576,0.2764576,0.275697222,0.275454286,,,,,0.276016677,150,0.323218246,0.319376296,0.321984259,0.306922333,,,,,0.317875284,250,0.346094333,0.352715208,0.333260488,0.3575244,,,,,0.347398607,350,0.354861724,0.346790455,0.363977037,0.365228148,,,,,0.357714341
R1,D0624,105,333,228,79.75779755,82.54933046,85.11562627,84.79032357,,,,,83.05326946,0.349814902,0.362058467,0.37331415,0.371887384,,,,,0.37,171.5793026,158.4720882,131.4441301,138.706753,,,,,150.0505685,0.268906042,0.156865669,0.114933613,0.078533962,1,1,1,1,#NAME?,0.24634,0.24634,0.24634,0.24634,,,,,0.24634,100,0.282686809,0.29297,0.297244,0.292422143,,,,,0.291330738,150,0.348684444,0.361219286,0.387042143,0.38526,,,,,0.370551468,250,0.423328182,0.427911224,0.432035714,0.44287549,,,,,0.431537653,350,0.435742571,0.4368484,0.451721774,0.443304082,,,,,0.441904207
