R1
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,86,0.14558,,86,0.14558,,86,0.14558,,86,0.14558
,,156,0.249,,114,0.1757,,128,0.21285,,126,0.19679
,,196,0.27811,,156,0.23394,,180,0.25703,,152,0.23494
,,256,0.32932,,182,0.27108,,219,0.3012,,180,0.25703
,,287,0.3494,,218,0.32329,,246,0.3243,,216,0.29719
,,328,0.3745,,259,0.39357,,269,0.34237,,256,0.31627
,,367,0.38454,,295,0.40964,,321,0.39458,,284,0.36446
,,414,0.40161,,344,0.43574,,361,0.43976,,326,0.39157
,,478,0.46285,,377,0.46185,,412,0.48896,,358,0.41566
,,,,,407,0.47189,,462,0.51205,,390,0.44378
,,,,,461,0.51305,,478,0.5139942424242424,,440,0.45884
,,,,,478,0.5226239024390243,,,,,478,0.47240177777777775
,D0603
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,81,0.13739,,81,0.13739,,81,0.13739,,81,0.13739
,,130,0.23062,,130,0.23062,,137,0.23258,,130,0.21884
,,181,0.31894,,187,0.31894,,180,0.30618,,161,0.27282
,,236,0.38862,,234,0.36703,,233,0.3896,,214,0.32875
,,285,0.4318,,279,0.41904,,291,0.4475,,257,0.38077
,,336,0.47399,,333,0.45535,,336,0.4803787234042553,,305,0.41217
,,,,,336,0.4574698,,,,,336,0.44799911111111107
,D0605
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,92,0.13592,,92,0.13592,,92,0.13592,,92,0.13592
,,123,0.17476,,123,0.17476,,145,0.21942,,123,0.17476
,,170,0.2466,,170,0.2466,,179,0.27282,,185,0.2466
,,198,0.2835,,198,0.28544,,216,0.31359,,232,0.31165
,,236,0.32427,,215,0.29515,,233,0.32816,,285,0.38447
,,265,0.34272,,256,0.33592,,272,0.36019,,315,0.40388
,,303,0.37184,,289,0.36117,,320,0.39515,,332,0.41845
,,342,0.39417,,325,0.4,,348,0.41359,,360,0.43981
,,373,0.4165,,378,0.44369,,372,0.43786,,401,0.46505
,,433,0.46602,,406,0.46408,,418,0.45922,,449,0.47573
,,457,0.46893,,436,0.47864,,457,0.48004600000000003,,457,0.47970853658536583
,,,,,457,0.49057414634146346,,,,,,
,D0608
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,91,0.14789,,91,0.14789,,91,0.14789,,91,0.14789
,,135,0.22334,,129,0.20121,,116,0.18109,,121,0.17304
,,174,0.26056,,170,0.27163,,144,0.22032,,162,0.21429
,,232,0.31891,,204,0.31087,,192,0.25553,,200,0.26358
,,281,0.36117,,250,0.35915,,245,0.30986,,241,0.33099
,,320,0.39336,,283,0.3833,,291,0.33602,,275,0.36318
,,366,0.42052,,331,0.41549,,328,0.36318,,335,0.41348
,,399,0.44567,,388,0.44668,,387,0.3994,,376,0.44064
,,454,0.47586,,436,0.46881,,428,0.45775,,424,0.46378
,,505,0.50302,,496,0.49799,,462,0.49195,,474,0.47586
,,,,,505,0.502742,,505,0.5139209523809524,,505,0.490585
,D0614
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.18109,,89,0.18109,,89,0.18109,,89,0.18109
,,140,0.27662,,124,0.24876,,123,0.24279,,118,0.22687
,,203,0.35025,,163,0.32836,,171,0.29254,,173,0.30945
,,228,0.38308,,198,0.36716,,217,0.33433,,219,0.3791
,,277,0.44179,,258,0.43085,,253,0.39602,,260,0.42587
,,324,0.47264,,280,0.45473,,303,0.43582,,295,0.45174
,,357,0.49751,,307,0.47363,,332,0.4597,,330,0.48259
,,409,0.52637,,348,0.5204,,384,0.48756,,369,0.51443
,,,,,387,0.55025,,409,0.5078285185185185,,409,0.5469936363636364
,,,,,409,0.5558990322580645,,,,,,
,D0615
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.13273,,79,0.13273,,79,0.13273,,79,0.13273
,,108,0.18164,,108,0.17066,,127,0.19361,,108,0.17066
,,158,0.25649,,166,0.25449,,165,0.2515,,166,0.25449
,,214,0.29541,,208,0.30639,,197,0.27745,,217,0.32934
,,251,0.32535,,244,0.32934,,255,0.34631,,253,0.35429
,,293,0.35928,,280,0.34631,,307,0.37725,,289,0.37325
,,317,0.37824,,318,0.39122,,345,0.4012,,334,0.39222
,,356,0.4002,,364,0.41717,,366,0.42315,,368,0.41218
,,392,0.42914,,393,0.42914,,410,0.45709,,397,0.43613
,,431,0.4511,,431,0.4417843137254902,,431,0.4661483783783784,,431,0.46648842105263155
,D0616
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.1709,,89,0.1709,,89,0.1709,,89,0.1709
,,136,0.24414,,115,0.21582,,129,0.23535,,112,0.21777
,,188,0.33008,,167,0.31445,,155,0.27734,,148,0.27734
,,221,0.35938,,198,0.36133,,191,0.33105,,184,0.32812
,,284,0.41797,,247,0.40918,,241,0.39355,,233,0.39258
,,333,0.46387,,290,0.44238,,285,0.42676,,266,0.40723
,,356,0.4873,,340,0.48047,,344,0.46484,,321,0.43945
,,407,0.52441,,376,0.51465,,375,0.49512,,354,0.46777
,,454,0.55566,,431,0.54004,,429,0.53223,,407,0.48926
,,,,,454,0.5550139583333333,,454,0.5492451515151515,,450,0.49805
,,,,,,,,,,,454,0.499375
,D0617
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.14694,,79,0.14694,,79,0.14694,,79,0.14694
,,113,0.18935,,117,0.20513,,126,0.2357,,137,0.23866
,,173,0.27712,,150,0.2574,,146,0.25444,,175,0.29093
,,231,0.34517,,190,0.31164,,185,0.28895,,203,0.31164
,,254,0.357,,240,0.34221,,226,0.35404,,250,0.38462
,,292,0.3925,,298,0.38757,,287,0.38264,,273,0.41124
,,345,0.44675,,318,0.39448,,334,0.39546,,314,0.44379
,,404,0.47929,,367,0.43393,,366,0.41026,,367,0.46351
,,453,0.50099,,420,0.45069,,401,0.44576,,396,0.48718
,,490,0.50789,,472,0.48126,,437,0.4714,,454,0.51677
,,,,,490,0.4936095652173913,,472,0.49408,,490,0.5311163829787233
,,,,,,,,490,0.5063684615384616,,,
,D0620
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,97,0.18544,,97,0.18544,,97,0.18544,,97,0.18544
,,122,0.21934,,122,0.21934,,151,0.25224,,139,0.2323
,,179,0.28514,,176,0.27717,,184,0.28614,,169,0.24626
,,231,0.31705,,233,0.32901,,230,0.30708,,212,0.3011
,,261,0.33898,,281,0.35494,,271,0.334,,262,0.35494
,,310,0.37188,,315,0.38086,,318,0.39083,,287,0.37089
,,368,0.41874,,359,0.3988,,372,0.43071,,316,0.39482
,,412,0.44566,,388,0.42971,,420,0.45065,,370,0.42672
,,452,0.47159,,422,0.43968,,475,0.49352,,406,0.43569
,,484,0.48255,,473,0.4676,,484,0.49769348837209304,,448,0.44566
,,,,,484,0.4745367346938776,,,,,477,0.45364
,,,,,,,,,,,484,0.45906888888888886
,D0624
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,78,0.1564,,78,0.1564,,78,0.1564,,78,0.1564
,,125,0.23167,,100,0.19746,,133,0.27664,,134,0.26784
,,179,0.30596,,147,0.27077,,189,0.35191,,166,0.32356
,,225,0.37341,,189,0.33431,,220,0.38319,,188,0.35484
,,258,0.40469,,225,0.37243,,262,0.42229,,221,0.39198
,,288,0.42229,,274,0.43597,,284,0.43988,,272,0.43402
,,347,0.48387,,327,0.48485,,339,0.49853,,320,0.46041
,,382,0.51808,,377,0.50733,,401,0.55914,,369,0.51711
,,426,0.54252,,423,0.53275,,426,0.5699194117647058,,403,0.5347
,,,,,426,0.53413,,,,,426,0.5415449999999999
,D0627
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,86,0.14186,,86,0.14186,,86,0.14186
,,109,0.17582,,122,0.2018,,127,0.21678
,,136,0.21578,,168,0.27872,,170,0.28172
,,161,0.24276,,205,0.33566,,222,0.34865
,,204,0.3037,,238,0.37762,,245,0.37662
,,240,0.34765,,279,0.4036,,291,0.41059
,,296,0.39361,,328,0.44555,,343,0.45554
,,350,0.45854,,397,0.5025,,370,0.47253
,,385,0.48252,,433,0.51848,,405,0.4995
,,439,0.5035,,480,0.53646,,459,0.52048
,,480,0.52248,,526,0.552258125,,484,0.53247
,,526,0.5330865384615384,,,,,526,0.53646
,D0628
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,77,0.15248,,77,0.15248,,77,0.15248
,,110,0.20891,,110,0.20891,,110,0.20891
,,153,0.26832,,160,0.26733,,154,0.28911
,,189,0.31485,,201,0.32178,,192,0.32673
,,241,0.37426,,258,0.37228,,237,0.36832
,,284,0.42376,,300,0.42376,,280,0.4099
,,337,0.45248,,352,0.46436,,313,0.44257
,,387,0.4802,,412,0.50099,,364,0.49505
,,436,0.50495,,445,0.51782,,412,0.53069
,,459,0.51683,,469,0.53762,,436,0.54158
,,505,0.53564,,508,0.54752,,488,0.57228
,,555,0.5604,,562,0.56139,,521,0.58416
,,591,0.5667969230769231,,591,0.5712737704918033,,551,0.6099
,,,,,,,,591,0.62277
,D0629
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.125,,82,0.125,,82,0.125
,,122,0.19336,,102,0.16504,,127,0.17871
,,152,0.22461,,157,0.25195,,174,0.24902
,,176,0.25098,,194,0.28906,,221,0.28906
,,203,0.29004,,226,0.31934,,248,0.32422
,,225,0.31543,,281,0.37305,,273,0.34277
,,245,0.33301,,330,0.41406,,292,0.3623
,,276,0.35059,,368,0.43605074074074074,,321,0.40625
,,301,0.37891,,,,,368,0.43457
,,329,0.39746,,,,,,
,,368,0.42285,,,,,,
,D0630
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,88,0.1423,,88,0.1423,,88,0.1423,,88,0.1423
,,134,0.2159,,135,0.20412,,138,0.20805,,146,0.23356
,,179,0.27085,,179,0.24632,,182,0.27772,,205,0.28754
,,248,0.33072,,228,0.29637,,230,0.31305,,247,0.32287
,,291,0.36506,,274,0.33366,,280,0.34642,,291,0.36114
,,327,0.3896,,342,0.40039,,326,0.37095,,340,0.39941
,,370,0.41806,,386,0.43867,,375,0.39352,,388,0.42002
,,420,0.44357,,432,0.45535,,421,0.42591,,414,0.42885
,,470,0.46026,,478,0.47694,,482,0.46026,,456,0.45044
,,524,0.4897,,523,0.4946,,524,0.47988,,502,0.4789
,,,,,524,0.495090652173913,,,,,524,0.4903579591836735
,D0631
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
