metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
R1,D0601,105,333,228,68.87972025,68.87972025,0.302104036,0.37,,nan,1,#NAME?,0.22239,0.22239,100,0.24533,0.24533,150,0.297110714,0.297110714,250,0.351874167,0.351874167,350,0.341346087,0.341346087
R1,D0603,105,333,228,76.65376629,76.65376629,0.336200729,0.37,191.7789474,191.7789474,0.255251031,#NAME?,0.21358,0.21358,100,0.24671125,0.24671125,150,0.331185,0.331185,250,0.408439767,0.408439767,350,0.411343725,0.411343725
R1,D0605,105,333,228,65.13677187,65.13677187,0.285687596,0.37,,nan,1,#NAME?,0.20498,0.20498,100,0.215111613,0.215111613,150,0.279818868,0.279818868,250,0.345117857,0.345117857,350,0.353777073,0.353777073
R1,D0608,105,333,228,72.36081317,72.36081317,0.317371988,0.37,,nan,1,#NAME?,0.22172,0.22172,100,0.240115122,0.240115122,150,0.318527213,0.318527213,250,0.361003824,0.361003824,350,0.368792045,0.368792045
R1,D0614,105,333,228,83.69524843,83.69524843,0.367084423,0.37,146.8771568,146.8771568,0.152710176,#NAME?,0.27143,0.27143,100,0.293684571,0.293684571,150,0.373789375,0.373789375,250,0.426849714,0.426849714,350,0.420887297,0.420887297
R1,D0615,105,333,228,65.92783221,65.92783221,0.289157159,0.37,,nan,1,#NAME?,0.20813,0.20813,100,0.236617586,0.236617586,150,0.298224828,0.298224828,250,0.337102222,0.337102222,350,0.346912632,0.346912632
R1,D0616,105,333,228,71.20128454,71.20128454,0.312286336,0.37,290.4442568,290.4442568,0.469567032,#NAME?,0.25811,0.25811,100,0.269404,0.269404,150,0.319074706,0.319074706,250,0.354642449,0.354642449,350,0.392151667,0.392151667
R1,D0617,105,333,228,71.39963473,71.39963473,0.313156293,0.37,245.4405797,245.4405797,0.368231371,#NAME?,0.22888,0.22888,100,0.261822368,0.261822368,150,0.308806792,0.308806792,250,0.371655789,0.371655789,350,0.360780851,0.360780851
R1,D0620,105,333,228,71.68825355,71.68825355,0.314422165,0.37,,nan,1,#NAME?,0.27292,0.27292,100,0.276325349,0.276325349,150,0.326782,0.326782,250,0.365402222,0.365402222,350,0.357235357,0.357235357
R1,D0624,105,333,228,80.65039033,80.65039033,0.353729782,0.37,163.7925218,163.7925218,0.199054575,#NAME?,0.24634,0.24634,100,0.29297,0.29297,150,0.35885,0.35885,250,0.427690652,0.427690652,350,0.424313913,0.424313913
R1,D0627,105,333,228,72.16364109,72.16364109,0.316507198,0.37,206.8978984,206.8978984,0.297046433,#NAME?,0.21897,0.21897,100,0.240344706,0.240344706,150,0.3053352,0.3053352,250,0.386986923,0.386986923,350,0.37491,0.37491
R1,D0628,105,333,228,73.55762,73.55762,0.32262114,0.37,208.1912739,208.1912739,0.298161986,#NAME?,0.23657,0.23657,100,0.2627,0.2627,150,0.324101346,0.324101346,250,0.379648909,0.379648909,350,0.38099,0.38099
R1,D0629,105,333,228,70.6091243,70.6091243,0.309689142,0.37,247.5474453,247.5474453,0.537491705,#NAME?,0.19512,0.19512,100,0.2293695,0.2293695,150,0.306030417,0.306030417,250,0.370763636,0.370763636,350,0.3929824,0.3929824
R1,D0630,105,333,228,66.83042782,66.83042782,0.293115911,0.37,,nan,1,#NAME?,0.22054,0.22054,100,0.236044,0.236044,150,0.300870909,0.300870909,250,0.352,0.352,350,0.356847872,0.356847872
R1,D0631,105,333,228,79.72536189,79.72536189,0.34967264,0.37,149.8501009,149.8501009,0.171744421,#NAME?,0.24749,0.24749,100,0.290598235,0.290598235,150,0.370231111,0.370231111,250,0.406497419,0.406497419,350,0.41327383,0.41327383
R1,D0640,105,333,228,77.82029,77.82029,0.341317061,0.37,183.5368421,183.5368421,0.307687586,#NAME?,0.2448,0.2448,100,0.282155,0.282155,150,0.338578,0.338578,250,0.398375918,0.398375918,350,0.415364667,0.415364667
R1,D0643,105,333,228,81.32192212,81.32192212,0.356675097,0.37,172.82472,172.82472,0.208894698,#NAME?,0.26172,0.26172,100,0.280476667,0.280476667,150,0.337470385,0.337470385,250,0.421521786,0.421521786,350,0.432174,0.432174
R1,D0645,105,333,228,75.1427419,75.1427419,0.329573429,0.37,188.725265,188.725265,0.275952449,#NAME?,0.21164,0.21164,100,0.26374,0.26374,150,0.341874,0.341874,250,0.376736585,0.376736585,350,0.388522703,0.388522703
R1,D0647,105,333,228,61.74758012,61.74758012,0.27082272,0.37,,nan,1,#NAME?,0.20463,0.20463,100,0.210445102,0.210445102,150,0.2596228,0.2596228,250,0.337428684,0.337428684,350,0.3450544,0.3450544
