metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyOracleLite75_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyOracleLite75_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyOracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyOracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_350,limit_F1score_avg_350
R1,D0601,105,333,228,77.90288208,77.90288208,0.341679307,0.37,175.8826446,175.8826446,0.18532504,#NAME?,0.22239,0.22239,100,0.253739756,0.253739756,150,0.340454717,0.340454717,250,0.395568,0.395568,350,0.401107547,0.401107547
R1,D0602,105,333,228,63.49486477,63.49486477,0.278486249,0.37,395.3765933,395.3765933,0.591100726,#NAME?,0.16614,0.16614,100,0.203400638,0.203400638,150,0.270273636,0.270273636,250,0.337165926,0.337165926,350,0.346822222,0.346822222
R1,D0603,105,333,228,77.22875124,77.22875124,0.338722593,0.37,193.7953823,193.7953823,0.223800362,#NAME?,0.21358,0.21358,100,0.243223167,0.243223167,150,0.318195714,0.318195714,250,0.412797097,0.412797097,350,0.417223922,0.417223922
R1,D0605,105,333,228,63.47905567,63.47905567,0.278416911,0.37,409.7513369,409.7513369,0.794378342,#NAME?,0.20498,0.20498,100,0.212504364,0.212504364,150,0.260438571,0.260438571,250,0.336573191,0.336573191,350,0.350461154,0.350461154
R1,D0608,105,333,228,73.27896383,73.27896383,0.321398964,0.37,252.1614219,252.1614219,0.339287204,#NAME?,0.22172,0.22172,100,0.233360789,0.233360789,150,0.301735882,0.301735882,250,0.368387391,0.368387391,350,0.405011852,0.405011852
R1,D0614,105,333,228,83.96461644,83.96461644,0.368265862,0.37,168.7683215,168.7683215,0.160499641,#NAME?,0.27143,0.27143,100,0.28720125,0.28720125,150,0.355565455,0.355565455,250,0.43758973,0.43758973,350,0.4546072,0.4546072
R1,D0615,105,333,228,75.58687379,75.58687379,0.331521376,0.37,203.5552063,203.5552063,0.249110413,#NAME?,0.20813,0.20813,100,0.24503931,0.24503931,150,0.322969434,0.322969434,250,0.393208644,0.393208644,350,0.416125167,0.416125167
R1,D0616,105,333,228,77.98703932,77.98703932,0.342048418,0.37,177.1714544,177.1714544,0.172885205,#NAME?,0.25811,0.25811,100,0.270699811,0.270699811,150,0.330422632,0.330422632,250,0.403195254,0.403195254,350,0.407878,0.407878
R1,D0617,105,333,228,81.87308362,81.87308362,0.359092472,0.37,149.4711488,149.4711488,0.15319815,#NAME?,0.22888,0.22888,100,0.2780242,0.2780242,150,0.370622857,0.370622857,250,0.41972122,0.41972122,350,0.417919556,0.417919556
R1,D0620,105,333,228,77.31280097,77.31280097,0.339091232,0.37,194.7533974,194.7533974,0.191298234,#NAME?,0.27292,0.27292,100,0.275668871,0.275668871,150,0.321483387,0.321483387,250,0.403101154,0.403101154,350,0.42124,0.42124
R1,D0624,105,333,228,89.56246862,89.56246862,0.392817845,0.37,130.9169497,130.9169497,0.118914494,#NAME?,0.24634,0.24634,100,0.303990476,0.303990476,150,0.393773077,0.393773077,250,0.461602791,0.461602791,350,0.482502273,0.482502273
R1,D0627,105,333,228,77.16432808,77.16432808,0.338440035,0.37,201.7120669,201.7120669,0.242075454,#NAME?,0.21897,0.21897,100,0.239433333,0.239433333,150,0.307048,0.307048,250,0.418586087,0.418586087,350,0.443222632,0.443222632
R1,D0628,105,333,228,77.18436379,77.18436379,0.338527911,0.37,190.7358751,190.7358751,0.229769445,#NAME?,0.23657,0.23657,100,0.277189804,0.277189804,150,0.342566429,0.342566429,250,0.391780435,0.391780435,350,0.40328717,0.40328717
R1,D0629,105,333,228,67.17148663,67.17148663,0.294611783,0.37,,nan,1,#NAME?,0.19512,0.19512,100,0.218037966,0.218037966,150,0.282823636,0.282823636,250,0.35259,0.35259,350,0.359579608,0.359579608
R1,D0630,105,333,228,72.4114704,72.4114704,0.317594168,0.37,202.4357322,202.4357322,0.23165128,#NAME?,0.22054,0.22054,100,0.238426207,0.238426207,150,0.311455965,0.311455965,250,0.387542766,0.387542766,350,0.390512414,0.390512414
R1,D0631,105,333,228,82.72144427,82.72144427,0.362813352,0.37,170.9871279,170.9871279,0.212975623,#NAME?,0.24749,0.24749,100,0.281995455,0.281995455,150,0.345932979,0.345932979,250,0.424910189,0.424910189,350,0.443626667,0.443626667
R1,D0640,105,333,228,79.15827541,79.15827541,0.347185418,0.37,167.3847482,167.3847482,0.179487446,#NAME?,0.2448,0.2448,100,0.277388085,0.277388085,150,0.347203019,0.347203019,250,0.408464211,0.408464211,350,0.400019672,0.400019672
R1,D0643,105,333,228,77.95657425,77.95657425,0.341914799,0.37,176.1708258,176.1708258,0.177806919,#NAME?,0.26172,0.26172,100,0.285242063,0.285242063,150,0.35168873,0.35168873,250,0.4065,0.4065,350,0.411930769,0.411930769
R1,D0645,105,333,228,73.49262592,73.49262592,0.322336079,0.37,213.2101071,213.2101071,0.26222462,#NAME?,0.21164,0.21164,100,0.242436491,0.242436491,150,0.312660877,0.312660877,250,0.39392,0.39392,350,0.384988958,0.384988958
R1,D0647,105,333,228,82.21068872,82.21068872,0.360573196,0.37,173.630184,173.630184,0.198763957,#NAME?,0.20463,0.20463,100,0.236418,0.236418,150,0.341755556,0.341755556,250,0.430116364,0.430116364,350,0.486617059,0.486617059
R1,D0650,105,333,228,70.2657583,70.2657583,0.30818315,0.37,267.8017216,267.8017216,0.344642732,#NAME?,0.25557,0.25557,100,0.2612955,0.2612955,150,0.293103833,0.293103833,250,0.357760408,0.357760408,350,0.381991014,0.381991014
R1,AVG,105,333,228,76.25754363,76.25754363,0.334462911,0.37,,210.7836123,0.298056918,#NAME?,0.229127143,0.229127143,100,0.255462645,0.255462645,150,0.324865447,0.324865447,250,0.397194326,0.397194326,350,0.410794041,0.410794041
R1,STD,0,0,0,6.333230507,6.333230507,0.027777327,0.37,,70.73902544,0.219044797,#NAME?,0.026561751,0.026561751,100,0.026614835,0.026614835,150,0.031972772,0.031972772,250,0.031569844,0.031569844,350,0.036346069,0.036346069
R1,BootAvg,,,,,76.272116,,,,209.9282204,,#NAME?,,0.229156667,100,,0.255383388,150,,0.324967313,250,,0.397278361,350,,0.410627807
R1,BootLower,,,,2.811025478,73.46109052,,,,183.4598742,,#NAME?,0.011452869,0.217703798,100,0.011443325,0.243940062,150,0.013939855,0.311027458,250,0.013698296,0.383580065,350,0.015605936,0.39502187
R1,BootUpper,,,,2.682834715,78.95495072,,,,245.1023646,,#NAME?,0.011027952,0.240184619,100,0.011468793,0.26685218,150,0.01327508,0.338242393,250,0.013162478,0.410440839,350,0.016054246,0.426682052
,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,D0601,105,333,228,14.29451632,14.29451632,0.062695247,0.06,160.4389027,160.4389027,0.153482274,#NAME?,0.02778,0.02778,100,0.037054146,0.037054146,150,0.058420377,0.058420377,250,0.070974,0.070974,350,0.091607925,0.091607925
