metric,topic,start_len,end_len,word_range,auc_RealSessions_AJQGWGESKQT4Y,auc_RealSessions_A3GWRDHAURRNK6,auc_RealSessions_AVBRJBJONL47I,auc_RealSessions_A1A1ZXUVSV4YR8,auc_RealSessions_A1171IQSWQS0K8,auc_RealSessions_A3K2VSBTT3WUTI,auc_RealSessions_A1ZB2NY0F9QNP0,auc_RealSessions_A17TKHT8FEVH0R,auc_topic,aucNorm_RealSessions_AJQGWGESKQT4Y,aucNorm_RealSessions_A3GWRDHAURRNK6,aucNorm_RealSessions_AVBRJBJONL47I,aucNorm_RealSessions_A1A1ZXUVSV4YR8,aucNorm_RealSessions_A1171IQSWQS0K8,aucNorm_RealSessions_A3K2VSBTT3WUTI,aucNorm_RealSessions_A1ZB2NY0F9QNP0,aucNorm_RealSessions_A17TKHT8FEVH0R,score_limit,limit_wordCount_RealSessions_AJQGWGESKQT4Y,limit_wordCount_RealSessions_A3GWRDHAURRNK6,limit_wordCount_RealSessions_AVBRJBJONL47I,limit_wordCount_RealSessions_A1A1ZXUVSV4YR8,limit_wordCount_RealSessions_A1171IQSWQS0K8,limit_wordCount_RealSessions_A3K2VSBTT3WUTI,limit_wordCount_RealSessions_A1ZB2NY0F9QNP0,limit_wordCount_RealSessions_A17TKHT8FEVH0R,limit_wordCount_topic,limit_relativeWordCount_RealSessions_AJQGWGESKQT4Y,limit_relativeWordCount_RealSessions_A3GWRDHAURRNK6,limit_relativeWordCount_RealSessions_AVBRJBJONL47I,limit_relativeWordCount_RealSessions_A1A1ZXUVSV4YR8,limit_relativeWordCount_RealSessions_A1171IQSWQS0K8,limit_relativeWordCount_RealSessions_A3K2VSBTT3WUTI,limit_relativeWordCount_RealSessions_A1ZB2NY0F9QNP0,limit_relativeWordCount_RealSessions_A17TKHT8FEVH0R,wordcount_limit_-inf,limit_F1score_RealSessions_AJQGWGESKQT4Y_-inf,limit_F1score_RealSessions_A3GWRDHAURRNK6_-inf,limit_F1score_RealSessions_AVBRJBJONL47I_-inf,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_-inf,limit_F1score_RealSessions_A1171IQSWQS0K8_-inf,limit_F1score_RealSessions_A3K2VSBTT3WUTI_-inf,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_-inf,limit_F1score_RealSessions_A17TKHT8FEVH0R_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_RealSessions_AJQGWGESKQT4Y_100,limit_F1score_RealSessions_A3GWRDHAURRNK6_100,limit_F1score_RealSessions_AVBRJBJONL47I_100,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_100,limit_F1score_RealSessions_A1171IQSWQS0K8_100,limit_F1score_RealSessions_A3K2VSBTT3WUTI_100,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_100,limit_F1score_RealSessions_A17TKHT8FEVH0R_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_RealSessions_AJQGWGESKQT4Y_150,limit_F1score_RealSessions_A3GWRDHAURRNK6_150,limit_F1score_RealSessions_AVBRJBJONL47I_150,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_150,limit_F1score_RealSessions_A1171IQSWQS0K8_150,limit_F1score_RealSessions_A3K2VSBTT3WUTI_150,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_150,limit_F1score_RealSessions_A17TKHT8FEVH0R_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_RealSessions_AJQGWGESKQT4Y_250,limit_F1score_RealSessions_A3GWRDHAURRNK6_250,limit_F1score_RealSessions_AVBRJBJONL47I_250,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_250,limit_F1score_RealSessions_A1171IQSWQS0K8_250,limit_F1score_RealSessions_A3K2VSBTT3WUTI_250,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_250,limit_F1score_RealSessions_A17TKHT8FEVH0R_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_RealSessions_AJQGWGESKQT4Y_350,limit_F1score_RealSessions_A3GWRDHAURRNK6_350,limit_F1score_RealSessions_AVBRJBJONL47I_350,limit_F1score_RealSessions_A1A1ZXUVSV4YR8_350,limit_F1score_RealSessions_A1171IQSWQS0K8_350,limit_F1score_RealSessions_A3K2VSBTT3WUTI_350,limit_F1score_RealSessions_A1ZB2NY0F9QNP0_350,limit_F1score_RealSessions_A17TKHT8FEVH0R_350,limit_F1score_avg_350
R1,D0601,105,333,228,70.42756621,73.66396981,73.13535524,66.7924015,,,,,71.00482319,0.308892834,0.323087587,0.320769102,0.292949129,,,,,0.37,,259.8924441,229.6448454,,,,,,244.7686447,1,0.333127288,0.193852693,1,1,1,1,1,#NAME?,0.23854,0.23854,0.23854,0.23854,,,,,0.23854,100,0.251861961,0.264181538,0.2615868,0.255373704,,,,,0.258251001,150,0.3022075,0.34134,0.331052927,0.308242308,,,,,0.320710684,250,0.362068286,0.365334364,0.371065294,0.341120638,,,,,0.359897145,350,0.36177807,0.363017143,0.362626923,0.3405636,,,,,0.356996434
R1,D0603,105,333,228,72.6798961,71.88843689,67.02604861,76.09429201,,,,,71.9221684,0.318771474,0.315300162,0.293973897,0.333746895,,,,,0.37,233.1738364,248.0508259,,200.2118972,,,,,227.1455198,0.311289572,0.23699248,1,0.231349191,1,1,1,1,#NAME?,0.21638,0.21638,0.21638,0.21638,,,,,0.21638,100,0.236335357,0.234305,0.237183448,0.236335357,,,,,0.236039791,150,0.299550896,0.293059184,0.303968235,0.303698333,,,,,0.300069162,250,0.379738571,0.371394545,0.347123448,0.391111642,,,,,0.372342052,350,0.400676491,0.423131176,0.349597321,0.416533962,,,,,0.397484738
R1,D0605,105,333,228,77.23538587,72.37656498,73.46234377,76.03713202,,,,,74.77785666,0.338751692,0.317441074,0.322203262,0.333496193,,,,,0.37,186.9465805,228.9335325,214.2868173,200.5201613,,,,,207.6717729,0.273567969,0.284162092,0.243428496,0.277288526,1,1,1,1,#NAME?,0.25782,0.25782,0.25782,0.25782,,,,,0.25782,100,0.282833333,0.274708148,0.272781154,0.281066667,,,,,0.277847325,150,0.354124,0.330145106,0.320718,0.34008,,,,,0.336266777,250,0.392733243,0.377052,0.379230909,0.391904,,,,,0.385230038,350,0.399473333,0.37336,0.395010909,0.396403673,,,,,0.391061979
R1,D0608,105,333,228,74.27727,75.27589367,68.41024879,73.74284161,,,,,72.92656352,0.3257775,0.330157428,0.300044951,0.323433516,,,,,0.37,206.0031949,196.2621622,306.8637002,186.395799,,,,,223.8812141,0.294411666,0.171172557,0.417037031,0.26405156,1,1,1,1,#NAME?,0.22664,0.22664,0.22664,0.22664,,,,,0.22664,100,0.248973333,0.248973333,0.241961,0.250035161,,,,,0.247485707,150,0.318781379,0.319809811,0.283483684,0.326893171,,,,,0.312242011,250,0.378990938,0.390007037,0.350353226,0.369157429,,,,,0.372127157,350,0.380172917,0.372156,0.382275,0.375138276,,,,,0.377435548
R1,D0614,105,333,228,84.15626631,82.07128679,81.01806635,81.58423649,,,,,82.20746399,0.369106431,0.359961784,0.355342396,0.357825599,,,,,0.37,167.674772,189.8019421,189.8019421,180.7654626,,,,,182.0110297,0.225129278,0.15632463,0.2863209,0.239245714,1,1,1,1,#NAME?,0.23915,0.23915,0.23915,0.23915,,,,,0.23915,100,0.268786607,0.268786607,0.268786607,0.268786607,,,,,0.268786607,150,0.344935345,0.337209833,0.337209833,0.339421148,,,,,0.33969404,250,0.436646721,0.425028103,0.415198605,0.411812667,,,,,0.422171524,350,0.445347333,0.44439375,0.449052632,0.44108913,,,,,0.444970711
R1,D0615,105,333,228,64.79406856,67.09371972,65.19935867,69.51040066,,,,,66.6493869,0.284184511,0.294270701,0.285962099,0.304870178,,,,,0.37,,,,,,,,,nan,1,1,1,1,1,1,1,1,#NAME?,0.21461,0.21461,0.21461,0.21461,,,,,0.21461,100,0.234023333,0.237828868,0.234907455,0.238862,,,,,0.236405414,150,0.28503186,0.310411143,0.300142143,0.30731525,,,,,0.300725099,250,0.32802625,0.338813571,0.333193191,0.360243906,,,,,0.34006923,350,0.345851053,0.329430889,0.31888,0.360883913,,,,,0.338761464
R1,D0616,105,333,228,74.19682758,73.22532638,75.68159423,64.76959638,,,,,71.96833614,0.325424682,0.321163712,0.331936817,0.284077177,,,,,0.37,196.3599633,236.1353683,196.3599633,443.5006803,,,,,268.0889938,0.296368464,0.265365424,0.142025926,0.632093405,1,1,1,1,#NAME?,0.21857,0.21857,0.21857,0.21857,,,,,0.21857,100,0.246604386,0.236751719,0.246604386,0.235480833,,,,,0.241360331,150,0.344757,0.306681406,0.344757,0.288142759,,,,,0.321084541,250,0.373337308,0.380996842,0.387569032,0.332605676,,,,,0.368627214,350,0.390732955,0.402844,0.391242714,0.368397667,,,,,0.388304334
R1,D0617,105,333,228,69.09888158,72.65809846,67.01737625,74.93806012,,,,,70.9281041,0.30306527,0.31867587,0.293935861,0.328675702,,,,,0.37,,221.9847449,328.6263026,194.174306,,,,,248.2617845,1,0.340962447,0.535046969,0.406833266,1,1,1,1,#NAME?,0.11051,0.11051,0.11051,0.11051,,,,,0.11051,100,0.2415275,0.242921111,0.2546776,0.260552,,,,,0.249919553,150,0.321508571,0.309719038,0.29167625,0.333377,,,,,0.314070215,250,0.3568668,0.382907826,0.338003,0.386456667,,,,,0.366058573,350,0.345815667,0.367225614,0.380435614,0.380184839,,,,,0.368415433
R1,D0620,105,333,228,72.40254695,66.45474483,70.7563124,70.98569645,,,,,70.14982516,0.31755503,0.291468179,0.310334704,0.311340774,,,,,0.37,263.576699,,,,,,,,263.576699,0.440041852,1,1,1,1,1,1,1,#NAME?,0.26146,0.26146,0.26146,0.26146,,,,,0.26146,100,0.2767175,0.272842,0.273410345,0.265518462,,,,,0.272122077,150,0.328162414,0.309314426,0.3223,0.303980476,,,,,0.315939329,250,0.367086667,0.325730227,0.356319048,0.366865862,,,,,0.354000451,350,0.376218431,0.338017077,0.34945,0.364161765,,,,,0.356961818
R1,D0624,105,333,228,84.20877945,82.58233312,82.18372576,80.11361987,,,,,82.27211455,0.369336752,0.362203215,0.360454938,0.351375526,,,,,0.37,167.7156893,164.5258007,165.7462032,169.8572347,,,,,166.961232,0.264146609,0.108358394,0.133471658,0.235050101,1,1,1,1,#NAME?,0.25242,0.25242,0.25242,0.25242,,,,,0.25242,100,0.270273846,0.272241389,0.271717143,0.271717143,,,,,0.27148738,150,0.345787714,0.350628983,0.352055385,0.350290638,,,,,0.34969068,250,0.443367273,0.433818824,0.439502857,0.420123333,,,,,0.434203072,350,0.458931429,0.44361566,0.430927447,0.448248462,,,,,0.445430749
