metric,topic,start_len,end_len,word_range,auc_resultsTROracleLite75_simulation_0,auc_topic,aucNorm_resultsTROracleLite75_simulation_0,score_limit,limit_wordCount_resultsTROracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsTROracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsTROracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsTROracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsTROracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsTROracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsTROracleLite75_simulation_0_350,limit_F1score_avg_350
R1,D0601,105,333,228,74.72077843,74.72077843,0.327722712,0.37,265.551372,265.551372,0.344628353,#NAME?,0.23854,0.23854,100,0.265977021,0.265977021,150,0.33762,0.33762,250,0.366853871,0.366853871,350,0.385328333,0.385328333
R1,D0602,105,333,228,70.26869375,70.26869375,0.308196025,0.37,255.2695418,255.2695418,0.291100256,#NAME?,0.20119,0.20119,100,0.2119425,0.2119425,150,0.295758364,0.295758364,250,0.367827778,0.367827778,350,0.375988421,0.375988421
R1,D0603,105,333,228,74.87403333,74.87403333,0.328394883,0.37,195.1454142,195.1454142,0.195640167,#NAME?,0.21638,0.21638,100,0.2392075,0.2392075,150,0.313902931,0.313902931,250,0.401638039,0.401638039,350,0.3948744,0.3948744
R1,D0605,105,333,228,73.63309739,73.63309739,0.322952182,0.37,237.4410828,237.4410828,0.353834306,#NAME?,0.25782,0.25782,100,0.278921111,0.278921111,150,0.347972093,0.347972093,250,0.372868,0.372868,350,0.376247317,0.376247317
R1,D0608,105,333,228,76.43002537,76.43002537,0.33521941,0.37,184.9686292,184.9686292,0.213152728,#NAME?,0.22664,0.22664,100,0.25214,0.25214,150,0.335039318,0.335039318,250,0.390515143,0.390515143,350,0.379507368,0.379507368
R1,D0614,105,333,228,85.8439862,85.8439862,0.376508711,0.37,158.0554723,158.0554723,0.146772328,#NAME?,0.23915,0.23915,100,0.275068837,0.275068837,150,0.358277091,0.358277091,250,0.448067419,0.448067419,350,0.445309423,0.445309423
R1,D0615,105,333,228,72.01717818,72.01717818,0.315864817,0.37,243.0819591,243.0819591,0.277529963,#NAME?,0.21461,0.21461,100,0.234945522,0.234945522,150,0.307572388,0.307572388,250,0.374461587,0.374461587,350,0.401954565,0.401954565
R1,D0616,105,333,228,72.24785455,72.24785455,0.316876555,0.37,235.8298727,235.8298727,0.29297219,#NAME?,0.21857,0.21857,100,0.237456792,0.237456792,150,0.304696786,0.304696786,250,0.377235106,0.377235106,350,0.392832353,0.392832353
R1,D0617,105,333,228,80.15043496,80.15043496,0.351536995,0.37,158.875,158.875,0.263973577,#NAME?,0.11051,0.11051,100,0.2792992,0.2792992,150,0.369842222,0.369842222,250,0.402787,0.402787,350,0.430223469,0.430223469
R1,D0620,105,333,228,78.11773075,78.11773075,0.342621626,0.37,176.5158036,176.5158036,0.175278819,#NAME?,0.26146,0.26146,100,0.273988387,0.273988387,150,0.32619,0.32619,250,0.407226552,0.407226552,350,0.407457917,0.407457917
R1,D0624,105,333,228,82.26706197,82.26706197,0.360820447,0.37,169.888535,169.888535,0.155256305,#NAME?,0.25242,0.25242,100,0.271717143,0.271717143,150,0.350278947,0.350278947,250,0.436297846,0.436297846,350,0.466882727,0.466882727
R1,D0627,105,333,228,73.55346371,73.55346371,0.322602911,0.37,206.8593169,206.8593169,0.384484191,#NAME?,0.07671,0.07671,100,0.240708507,0.240708507,150,0.313838889,0.313838889,250,0.385243607,0.385243607,350,0.397145294,0.397145294
R1,D0628,105,333,228,70.276161,70.276161,0.308228776,0.37,264.024974,264.024974,0.301755169,#NAME?,0.22902,0.22902,100,,nan,150,0.282934286,0.282934286,250,0.36572127,0.36572127,350,0.383566833,0.383566833
R1,D0629,105,333,228,68.93071565,68.93071565,0.3023277,0.37,300.7093633,300.7093633,0.463636972,#NAME?,0.21594,0.21594,100,0.224936522,0.224936522,150,0.284884375,0.284884375,250,0.353451346,0.353451346,350,0.37865587,0.37865587
R1,D0630,105,333,228,83.69599476,83.69599476,0.367087696,0.37,155.4957784,155.4957784,0.150375054,#NAME?,0.23871,0.23871,100,0.2835784,0.2835784,150,0.363490877,0.363490877,250,0.437222857,0.437222857,350,0.436368387,0.436368387
R1,D0631,105,333,228,81.59793515,81.59793515,0.35788568,0.37,165.1348611,165.1348611,0.157740002,#NAME?,0.26856,0.26856,100,0.287642857,0.287642857,150,0.355074,0.355074,250,0.421129714,0.421129714,350,0.432904286,0.432904286
R1,D0640,105,333,228,80.71818972,80.71818972,0.354027148,0.37,174.5044084,174.5044084,0.14880667,#NAME?,0.23037,0.23037,100,0.2439936,0.2439936,150,0.349033684,0.349033684,250,0.429583333,0.429583333,350,0.416441154,0.416441154
R1,D0643,105,333,228,79.66306174,79.66306174,0.349399394,0.37,183.7856736,183.7856736,0.154148621,#NAME?,0.26415,0.26415,100,0.268259048,0.268259048,150,0.336743175,0.336743175,250,0.421004583,0.421004583,350,0.43623,0.43623
R1,D0645,105,333,228,76.04825,76.04825,0.333544956,0.37,203.2774417,203.2774417,0.210134614,#NAME?,0.24946,0.24946,100,0.252996667,0.252996667,150,0.331286364,0.331286364,250,0.396585902,0.396585902,350,0.408129167,0.408129167
R1,D0647,105,333,228,94.72849733,94.72849733,0.415475865,0.37,124.9588477,124.9588477,0.086785551,#NAME?,0.27749,0.27749,100,0.317059268,0.317059268,150,0.400425,0.400425,250,0.493591053,0.493591053,350,0.52001569,0.52001569
R1,D0650,105,333,228,68.67896928,68.67896928,0.301223549,0.37,,nan,1,#NAME?,0.21037,0.21037,100,0.218277407,0.218277407,150,0.296443437,0.296443437,250,0.350179667,0.350179667,350,0.359644783,0.359644783
R1,AVG,105,333,228,77.06962444,77.06962444,0.338024669,0.37,,202.9686674,0.274666945,#NAME?,0.223717619,0.223717619,100,0.257905815,nan,150,0.331490677,0.331490677,250,0.399975794,0.399975794,350,0.410747988,0.410747988
R1,STD,0,0,0,6.266575458,6.266575458,0.02748498,0.37,,45.23003055,0.187206777,#NAME?,0.04716295,0.04716295,100,0.025951634,nan,150,0.029684573,0.029684573,250,0.035038677,0.035038677,350,0.036349674,0.036349674
R1,BootAvg,,,,,77.03372248,,,,202.8283681,,#NAME?,,0.224361429,100,,nan,150,,0.331411826,250,,0.39953429,350,,0.410433361
R1,BootLower,,,,2.522420269,74.51130221,,,,183.6972358,,#NAME?,0.022737964,0.201623464,100,,nan,150,0.012096801,0.319315025,250,0.01388855,0.385645739,350,0.014204228,0.396229134
R1,BootUpper,,,,2.79511242,79.8288349,,,,223.3826982,,#NAME?,0.016927238,0.241288667,100,,nan,150,0.012923611,0.344335437,250,0.015853437,0.415387727,350,0.016835028,0.427268389
,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,D0601,105,333,228,9.678305106,9.678305106,0.042448707,0.06,317.3842795,317.3842795,0.4441157,#NAME?,0.01999,0.01999,100,0.026111277,0.026111277,150,0.040753134,0.040753134,250,0.045557419,0.045557419,350,0.063556667,0.063556667
R2,D0602,105,333,228,8.823806738,8.823806738,0.038700907,0.06,402.038961,402.038961,0.556027005,#NAME?,0.01191,0.01191,100,0.01386625,0.01386625,150,0.030102545,0.030102545,250,0.047496508,0.047496508,350,0.054279474,0.054279474
R2,D0603,105,333,228,13.779855,13.779855,0.060437961,0.06,141.8031574,141.8031574,0.100893708,#NAME?,0.04081,0.04081,100,0.0458775,0.0458775,150,0.061623966,0.061623966,250,0.071970196,0.071970196,350,0.0719324,0.0719324
R2,D0605,105,333,228,14.43838475,14.43838475,0.063326249,0.06,,nan,1,#NAME?,0.06747,0.06747,100,0.068290556,0.068290556,150,0.069925116,0.069925116,250,0.069428,0.069428,350,0.079677561,0.079677561
R2,D0608,105,333,228,12.85835151,12.85835151,0.056396279,0.06,144.1231275,144.1231275,0.126062106,#NAME?,0.0339,0.0339,100,0.040521774,0.040521774,150,0.061197727,0.061197727,250,0.063251429,0.063251429,350,0.066983158,0.066983158
R2,D0614,105,333,228,20.64626153,20.64626153,0.090553779,0.06,112.1693122,112.1693122,0.059370118,#NAME?,0.04904,0.04904,100,0.05572093,0.05572093,150,0.075850545,0.075850545,250,0.117093871,0.117093871,350,0.106413846,0.106413846
R2,D0615,105,333,228,14.4158738,14.4158738,0.063227517,0.06,169.042879,169.042879,0.146718868,#NAME?,0.03523,0.03523,100,0.040000448,0.040000448,150,0.057037761,0.057037761,250,0.07499873,0.07499873,350,0.09312087,0.09312087
R2,D0616,105,333,228,12.43107785,12.43107785,0.054522271,0.06,217.573913,217.573913,0.257035262,#NAME?,0.02862,0.02862,100,0.032515094,0.032515094,150,0.045791071,0.045791071,250,0.071237872,0.071237872,350,0.078682353,0.078682353
R2,D0617,105,333,228,24.845606,24.845606,0.108971956,0.06,72.944989,72.944989,0.089319083,#NAME?,0.02513,0.02513,100,0.0835392,0.0835392,150,0.125775556,0.125775556,250,0.121851,0.121851,350,0.130685102,0.130685102
R2,D0620,105,333,228,13.56467799,13.56467799,0.059494202,0.06,175.7957245,175.7957245,0.17385292,#NAME?,0.03931,0.03931,100,0.041562903,0.041562903,150,0.05095,0.05095,250,0.071621724,0.071621724,350,0.0793725,0.0793725
R2,D0624,105,333,228,20.3076928,20.3076928,0.089068828,0.06,127.6860548,127.6860548,0.074253464,#NAME?,0.02688,0.02688,100,0.036297347,0.036297347,150,0.07271,0.07271,250,0.117318462,0.117318462,350,0.1364,0.1364
R2,D0627,105,333,228,11.64788417,11.64788417,0.051087211,0.06,206.3026764,206.3026764,0.38333884,#NAME?,0.00754,0.00754,100,0.027489403,0.027489403,150,0.040196667,0.040196667,250,0.062739508,0.062739508,350,0.075151176,0.075151176
R2,D0628,105,333,228,10.733493,10.733493,0.047076724,0.06,307.2428571,307.2428571,0.383762537,#NAME?,0.03434,0.03434,100,,nan,150,0.043032857,0.043032857,250,0.054267778,0.054267778,350,0.069976667,0.069976667
R2,D0629,105,333,228,12.4126513,12.4126513,0.054441453,0.06,232.387156,232.387156,0.311132045,#NAME?,0.04082,0.04082,100,0.042276304,0.042276304,150,0.051512344,0.051512344,250,0.061845962,0.061845962,350,0.067156304,0.067156304
R2,D0630,105,333,228,21.38449448,21.38449448,0.093791642,0.06,105.2495164,105.2495164,0.054117848,#NAME?,0.03079,0.03079,100,0.054572,0.054572,150,0.09215807,0.09215807,250,0.113068571,0.113068571,350,0.107847419,0.107847419
R2,D0631,105,333,228,17.87471003,17.87471003,0.078397851,0.06,94.00324851,94.00324851,0.012276582,#NAME?,0.05736,0.05736,100,0.062637143,0.062637143,150,0.079214,0.079214,250,0.088950857,0.088950857,350,0.098975714,0.098975714
R2,D0640,105,333,228,20.12292704,20.12292704,0.088258452,0.06,117.7947725,117.7947725,0.043982944,#NAME?,0.03542,0.03542,100,0.041618,0.041618,150,0.087225789,0.087225789,250,0.109492963,0.109492963,350,0.112489231,0.112489231
R2,D0643,105,333,228,25.56926452,25.56926452,0.112145897,0.06,,nan,1,#NAME?,0.07591,0.07591,100,0.077326667,0.077326667,150,0.100937778,0.100937778,250,0.133410833,0.133410833,350,0.15181,0.15181
