topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0608H,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,"16, 114","16, 114",Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,0,0.7431897
D0608H,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","432, 494;502, 528","16, 114",a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,0,0.65109956
D0608H,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","473, 528","16, 114",an intermittent chime sounds until the belt is latched.,Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,0,0.63850677
D0608H,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,"115, 144","115, 144",they buckle their seat belts.,they buckle their seat belts.,0,0.70952576
D0608H,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,"145, 242","145, 242",The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,0,0.74278754
D0608H,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,"145, 148;199, 242","145, 242",The...U.S. product line starting later this year.,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,0,0.7038252
D0608H,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,"145, 242","145, 148;199, 242",The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,The...U.S. product line starting later this year.,0,0.53473043
D0608H,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,APW19990104.0114,145,The Belt-Minder system will be used throughout Ford's U.S. product line starting later this year.,"145, 148;199, 242","145, 148;199, 242",The...U.S. product line starting later this year.,The...U.S. product line starting later this year.,0,0.7348952
D0608H,APW19990104.0114,243,President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,APW19990104.0114,243,President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,"243, 354","243, 354",President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,0,0.73399764
D0608H,APW19990104.0114,243,President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,XIE20000113.0202,285,"The new system, unveiled at the Detroit auto show Wednesday, includes an airbag-like curtain on each side of the vehicle and is a response to the federal government's revelation that almost half the people who die in light trucks and SUVs die in rollover accidents.","285, 334;346, 405","243, 354","The new system, unveiled at the Detroit auto show...includes an airbag-like curtain on each side of the vehicle",President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,0,0.52892095
