topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","0, 32;65, 138","0, 32;65, 138","Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.73901826
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","35, 52;86, 138","0, 32;65, 138",*Friday  EgyptAir...bound for Kennedy International Airport in New York.,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.6589187
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991103.0509,1919,Veteran aerospace journalists who have covered many crashes said they could not recall a commercial airliner acting as strangely as Flight 990 as it made its final wayward journey up and down over the Atlantic some 30 minutes after taking off from Kennedy Airport in New York on a flight to Cairo.,"2145, 2216","0, 32;65, 138",after taking off from Kennedy Airport in New York on a flight to Cairo.,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.5798234
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991110.0501,248,It is not yet clear whether the autopilot disconnected by itself or was turned off by the crew of the Cairo-bound jet that was some 40 minutes out of New York's Kennedy Airport at the time.,"346, 365;371, 437","0, 32;65, 138",the Cairo-bound jet...was some 40 minutes out of New York's Kennedy Airport at the time.,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.54218185
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991110.0501,1274,"One of the thrust reversers on the twin-engine 767, which are used to slow a jet after landing, had been deactivated because of a problem before the jet left Cairo for New York, and there has been speculation that perhaps a thrust reverser deployed during flight.","1419, 1450","0, 32;65, 138",the jet left Cairo for New York,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.65175337
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991101.0310,884,"Flight 990 of EgyptAir, Egypt's national carrier, took off from John F. Kennedy International Airport in New York at 1:19 a.m. local time (0519 GMT) en route to Cairo and disappeared from radar screen at 2 a.m. (0600 GMT).","884, 906;934, 1021","0, 32;65, 138",Flight 990 of EgyptAir...took off from John F. Kennedy International Airport in New York at 1:19 a.m. local time,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.6466787
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991109.0095,418,"The U.S Navy waged a round-the-clock search on Monday for the boxes, eight days after the Boeing 767 plane crashed some 60 miles off Nantucket Island, Massachusetts, shortly after it took off from John F. Kennedy International Airport in New York.","598, 665","0, 32;65, 138",it took off from John F. Kennedy International Airport in New York.,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.6205599
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991117.0007,976,The Cairo-bound passenger plane crashed into the Atlantic Ocean off the Massachusettes coast 40 minutes after takeoff from the Kennedy International Airport in New York on October 31.,"976, 1159","0, 32;65, 138",The Cairo-bound passenger plane crashed into the Atlantic Ocean off the Massachusettes coast 40 minutes after takeoff from the Kennedy International Airport in New York on October 31.,"Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",0,0.5652098
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","0, 32;65, 138","35, 52;86, 138","Timeline for EgyptAir Flight 990...leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.6667275
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","35, 52;86, 138","35, 52;86, 138",*Friday  EgyptAir...bound for Kennedy International Airport in New York.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.73438454
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,"387, 400;404, 457","35, 52;86, 138",4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.6017631
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991103.0509,1919,Veteran aerospace journalists who have covered many crashes said they could not recall a commercial airliner acting as strangely as Flight 990 as it made its final wayward journey up and down over the Atlantic some 30 minutes after taking off from Kennedy Airport in New York on a flight to Cairo.,"2145, 2216","35, 52;86, 138",after taking off from Kennedy Airport in New York on a flight to Cairo.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.5803061
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991110.0501,248,It is not yet clear whether the autopilot disconnected by itself or was turned off by the crew of the Cairo-bound jet that was some 40 minutes out of New York's Kennedy Airport at the time.,"346, 365;371, 437","35, 52;86, 138",the Cairo-bound jet...was some 40 minutes out of New York's Kennedy Airport at the time.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.5680001
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",NYT19991110.0501,1274,"One of the thrust reversers on the twin-engine 767, which are used to slow a jet after landing, had been deactivated because of a problem before the jet left Cairo for New York, and there has been speculation that perhaps a thrust reverser deployed during flight.","1419, 1450","35, 52;86, 138",the jet left Cairo for New York,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.62748796
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991101.0310,884,"Flight 990 of EgyptAir, Egypt's national carrier, took off from John F. Kennedy International Airport in New York at 1:19 a.m. local time (0519 GMT) en route to Cairo and disappeared from radar screen at 2 a.m. (0600 GMT).","884, 906;934, 1021","35, 52;86, 138",Flight 990 of EgyptAir...took off from John F. Kennedy International Airport in New York at 1:19 a.m. local time,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.63549966
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991109.0095,418,"The U.S Navy waged a round-the-clock search on Monday for the boxes, eight days after the Boeing 767 plane crashed some 60 miles off Nantucket Island, Massachusetts, shortly after it took off from John F. Kennedy International Airport in New York.","598, 665","35, 52;86, 138",it took off from John F. Kennedy International Airport in New York.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.66527486
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991111.0027,617,"The Cairo-bound plane plunged some 60 miles south off Nantucket Island, Massachusetts soon after it took off from New York.","714, 740","35, 52;86, 138",it took off from New York.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.52760476
D0617H,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.",XIE19991117.0007,976,The Cairo-bound passenger plane crashed into the Atlantic Ocean off the Massachusettes coast 40 minutes after takeoff from the Kennedy International Airport in New York on October 31.,"976, 1159","35, 52;86, 138",The Cairo-bound passenger plane crashed into the Atlantic Ocean off the Massachusettes coast 40 minutes after takeoff from the Kennedy International Airport in New York on October 31.,*Friday  EgyptAir...bound for Kennedy International Airport in New York.,0,0.6384689
D0617H,APW19991031.0036,139,"*Saturday  8:02 a.m. EDT -- Plane, diverted because of inclement weather, lands at Newark International Airport.",APW19991031.0036,139,"*Saturday  8:02 a.m. EDT -- Plane, diverted because of inclement weather, lands at Newark International Airport.","139, 163;174, 211","139, 163;174, 211",*Saturday  8:02 a.m. EDT...diverted because of inclement weather,*Saturday  8:02 a.m. EDT...diverted because of inclement weather,0,0.73142755
D0617H,APW19991031.0036,139,"*Saturday  8:02 a.m. EDT -- Plane, diverted because of inclement weather, lands at Newark International Airport.",NYT19991109.0379,1034,"For much of the past week, investigators and mourning families have waited as foul weather and winds caused delays in the search for the recorders.","1112, 1181","139, 163;174, 211",foul weather and winds caused delays in the search for the recorders.,*Saturday  8:02 a.m. EDT...diverted because of inclement weather,0,0.5136145
D0617H,APW19991031.0036,252,"10:25 a.m. EDT -- Plane leaves Newark, N.J., bound for Los Angeles International Airport.",APW19991031.0036,252,"10:25 a.m. EDT -- Plane leaves Newark, N.J., bound for Los Angeles International Airport.","252, 266;270, 341","252, 266;270, 341","10:25 a.m. EDT...Plane leaves Newark, N.J., bound for Los Angeles International Airport.","10:25 a.m. EDT...Plane leaves Newark, N.J., bound for Los Angeles International Airport.",0,0.74195606
D0617H,APW19991031.0036,252,"10:25 a.m. EDT -- Plane leaves Newark, N.J., bound for Los Angeles International Airport.",NYT19991103.0509,3804,It then flew to Los Angeles and then to Kennedy before leaving on its last and fatal leg.,"3804, 3831","252, 266;270, 341",It then flew to Los Angeles,"10:25 a.m. EDT...Plane leaves Newark, N.J., bound for Los Angeles International Airport.",0,0.5348952
D0617H,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,APW19991031.0036,0,"Timeline for EgyptAir Flight 990:  *Friday  EgyptAir Boeing 767, leaves Cairo, Egypt, bound for Kennedy International Airport in New York.","35, 52;86, 138","387, 400;404, 457",*Friday  EgyptAir...bound for Kennedy International Airport in New York.,4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,0,0.5982597
D0617H,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,"387, 400;404, 457","387, 400;404, 457",4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,0,0.73467684
D0617H,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,NYT19991103.0509,1919,Veteran aerospace journalists who have covered many crashes said they could not recall a commercial airliner acting as strangely as Flight 990 as it made its final wayward journey up and down over the Atlantic some 30 minutes after taking off from Kennedy Airport in New York on a flight to Cairo.,"2145, 2216","387, 400;404, 457",after taking off from Kennedy Airport in New York on a flight to Cairo.,4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,0,0.6237972
D0617H,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,XIE19991102.0164,394,"Aboard the same plane were 73 family members of the Egyptian victims of the EgyptAir flight 990, a Boeing 767, which crashed into the Atlantic Ocean off the northeastern coast of the U.S. shortly after taking off from John F. Kennedy International Airport on the way to Cairo early Sunday.","590, 683","387, 400;404, 457",after taking off from John F. Kennedy International Airport on the way to Cairo early Sunday.,4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,0,0.5368689
D0617H,APW19991031.0036,387,4:30 p.m. PDT -- Plane departs Los Angeles for New York's JFK airport.,XIE19991109.0095,418,"The U.S Navy waged a round-the-clock search on Monday for the boxes, eight days after the Boeing 767 plane crashed some 60 miles off Nantucket Island, Massachusetts, shortly after it took off from John F. Kennedy International Airport in New York.","598, 665","387, 400;404, 457",it took off from John F. Kennedy International Airport in New York.,4:30 p.m. PDT...Plane departs Los Angeles for New York's JFK airport.,0,0.65365386
