topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","14, 112","14, 112",Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,0,0.73340064
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","0, 33;78, 172","14, 112",BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,0,0.51393
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.","325, 353","14, 112",were witnesses in the trial.,Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,0,0.55091566
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,976,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,"976, 1078","14, 112",Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,0,0.5322558
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","14, 112","0, 33;78, 172",Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,0,0.670324
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","0, 33;78, 172","0, 33;78, 172",BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,0,0.728478
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","118, 261","0, 33;78, 172","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,0,0.678861
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","0, 33;78, 172","118, 261",BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.66755426
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","118, 261","118, 261","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.7486371
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,412,"One had heavy facial hair that was either caused or worsened by taking anabolic steroids, they said.","412, 500","118, 261",One had heavy facial hair that was either caused or worsened by taking anabolic steroids,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.67338187
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.","513, 555","118, 261",Two women were diagnosed with liver damage,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.66160434
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980818.0980,931,"Others suffered such side-effects as deeper voices, serious acne and excessive hair growth.","931, 1022","118, 261","Others suffered such side-effects as deeper voices, serious acne and excessive hair growth.","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.6331419
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW19980818.0980,2438,"Suender said only once in his 15-year career did he suspect the steroids of causing a health problem, when a girl came to him with acute liver problems.","2545, 2590","118, 261",a girl came to him with acute liver problems.,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.53927755
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW20000718.0065,661,"Prosecutors say the 20 female athletes involved in the case suffered serious side-effects from the drugs, and that Ewald and Hoeppner knew of the potential danger.","661, 816","118, 261","Prosecutors say the 20 female athletes involved in the case suffered serious side-effects from the drugs, and that Ewald and Hoeppner knew of the potential","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.5749863
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW20000718.0065,661,"Prosecutors say the 20 female athletes involved in the case suffered serious side-effects from the drugs, and that Ewald and Hoeppner knew of the potential danger.","677, 765","118, 261",the 20 female athletes involved in the case suffered serious side-effects from the drugs,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.63087106
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW20000718.0065,2257,They say the drugs caused them to develop excessive body hair and deep voices and also caused gynecological problems.,"2257, 2374","118, 261",They say the drugs caused them to develop excessive body hair and deep voices and also caused gynecological problems.,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.56246513
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",APW20000718.0065,2375,The baby of one former athlete was born with deformities allegedly linked to the drugs.,"2420, 2462","118, 261",deformities allegedly linked to the drugs.,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.5236416
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",NYT19980922.0343,1833,She developed facial hair and a dramatically enlarged Adam's apple.,"1833, 1900","118, 261",She developed facial hair and a dramatically enlarged Adam's apple.,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.542668
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",NYT20000205.0294,217,"Other problems ensued: liver ailments, a hardening of back muscles.","217, 238;240, 254","118, 261",Other problems ensued...liver ailments,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.632106
D0602B,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",NYT20000205.0294,1936,"After Krause left the swimming school in 1981, her voice was deeper, she had liver problems and she battled depression.","1936, 1981;2005, 2027","118, 261",After Krause left the swimming school in 1981...she had liver problems,"the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",0,0.53667843
D0602B,APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.",APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.","262, 311","262, 311",The two professors said they examined 11 swimmers,The two professors said they examined 11 swimmers,0,0.7184477
D0602B,APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.",APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.","325, 353","325, 353",were witnesses in the trial.,were witnesses in the trial.,0,0.6976727
D0602B,APW19980812.0878,354,"Five of the women had changes in their voices, they said.",APW19980812.0878,354,"Five of the women had changes in their voices, they said.","354, 399","354, 399",Five of the women had changes in their voices,Five of the women had changes in their voices,0,0.71782815
D0602B,APW19980812.0878,412,"One had heavy facial hair that was either caused or worsened by taking anabolic steroids, they said.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","118, 261","412, 500","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",One had heavy facial hair that was either caused or worsened by taking anabolic steroids,0,0.5277969
D0602B,APW19980812.0878,412,"One had heavy facial hair that was either caused or worsened by taking anabolic steroids, they said.",APW19980812.0878,412,"One had heavy facial hair that was either caused or worsened by taking anabolic steroids, they said.","412, 500","412, 500",One had heavy facial hair that was either caused or worsened by taking anabolic steroids,One had heavy facial hair that was either caused or worsened by taking anabolic steroids,0,0.72923225
D0602B,APW19980812.0878,412,"One had heavy facial hair that was either caused or worsened by taking anabolic steroids, they said.",NYT19980922.0343,1833,She developed facial hair and a dramatically enlarged Adam's apple.,"1833, 1900","412, 500",She developed facial hair and a dramatically enlarged Adam's apple.,One had heavy facial hair that was either caused or worsened by taking anabolic steroids,0,0.58004993
D0602B,APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","118, 261","513, 555","the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.",Two women were diagnosed with liver damage,0,0.50268835
D0602B,APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.",APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.","513, 555","513, 555",Two women were diagnosed with liver damage,Two women were diagnosed with liver damage,0,0.71719426
D0602B,APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.",APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.","572, 700","572, 700",another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.,another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.,0,0.7499174
D0602B,APW19980812.0878,513,"Two women were diagnosed with liver damage, they said, and another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.",NYT19980922.0343,3395,"It turns out that Koch had been doping with Oral-Turinabol, a testosterone-based steroid, for at least four years leading up to her record run.","3395, 3533","572, 700","It turns out that Koch had been doping with Oral-Turinabol, a testosterone-based steroid, for at least four years leading up to her record",another had a liver tumor that could be traced back to taking a combination of contraceptive pills and steroids for eight years.,0,0.5243501
D0602B,APW19980812.0878,701,"Such side-effects of anabolic steroids have been generally known since 1977, they said.",APW19980812.0878,701,"Such side-effects of anabolic steroids have been generally known since 1977, they said.","701, 776","701, 776",Such side-effects of anabolic steroids have been generally known since 1977,Such side-effects of anabolic steroids have been generally known since 1977,0,0.7243229
D0602B,APW19980812.0878,701,"Such side-effects of anabolic steroids have been generally known since 1977, they said.",NYT19990531.0171,2016,"In any case, sports medicine doctors generally agree that its potential for inducing serious side effects is similar to that of anabolic steroids.","2016, 2027;2029, 2162","701, 776",In any case...sports medicine doctors generally agree that its potential for inducing serious side effects is similar to that of anabolic steroids.,Such side-effects of anabolic steroids have been generally known since 1977,0,0.53264725
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","789, 803;841, 850;852, 859","789, 803;841, 850;852, 859",Horst Luebbert...cautioned...however,Horst Luebbert...cautioned...however,0,0.71117336
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","0, 33;78, 172","871, 916",BERLIN (AP) _ Two medical experts...a former East German sports doctor said the female swimmers they examined showed health damage,the health damage was ``with all probability',0,0.5297769
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","871, 916","871, 916",the health damage was ``with all probability',the health damage was ``with all probability',0,0.7156404
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","900, 916;918, 934","871, 916",all probability'...linked to doping,the health damage was ``with all probability',0,0.55210394
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","871, 916","900, 916;918, 934",the health damage was ``with all probability',all probability'...linked to doping,0,0.53335804
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","900, 916;918, 934","900, 916;918, 934",all probability'...linked to doping,all probability'...linked to doping,0,0.664011
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","925, 934;936, 937","925, 934;936, 937",to doping...`,to doping...`,0,0.50759304
D0602B,APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''",APW19980812.0878,789,"Horst Luebbert, a professor of clinical gynecology, cautioned, however that while the health damage was ``with all probability'' linked to doping, ``we can't offer (absolute) security.''","938, 952;954, 973","938, 952;954, 973",we can't offer...absolute) security.,we can't offer...absolute) security.,0,0.7108202
D0602B,APW19980812.0878,976,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,APW19980812.0878,0,"BERLIN (AP) _ Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor said the female swimmers they examined showed health damage linked to performance-enhancing drugs, including liver damage and excessive facial hair.","14, 112","976, 1078",Two medical experts testifying Wednesday in the doping trial of a former East German sports doctor,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,0,0.60739964
D0602B,APW19980812.0878,976,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,APW19980812.0878,262,"The two professors said they examined 11 swimmers, all of whom were witnesses in the trial.","325, 353","976, 1078",were witnesses in the trial.,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,0,0.5625563
D0602B,APW19980812.0878,976,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,APW19980812.0878,976,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,"976, 1078","976, 1078",Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,Luebbert and pharmacology professor Norbert Rietbrock testified in the trial against Dr. Dieter Binus.,0,0.7367583
D0602B,APW19980812.0878,1079,His case was severed from five other defendants _ four coaches and another doctor _ after he made a partial confession last month.,APW19980812.0878,1079,His case was severed from five other defendants _ four coaches and another doctor _ after he made a partial confession last month.,"1079, 1160;1163, 1209","1079, 1160;1163, 1209",His case was severed from five other defendants _ four coaches and another doctor...after he made a partial confession last month.,His case was severed from five other defendants _ four coaches and another doctor...after he made a partial confession last month.,0,0.75431633
