topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.","16, 106","16, 106",-- A new computer virus can allow documents to be e-mailed to other people without warning,-- A new computer virus can allow documents to be e-mailed to other people without warning,0,0.7297553
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990327.0116,1926,Infected documents are sent as attachments to e-mails most frequently bearing a header: ``Subject: Important Message From'' the name of person whose computer relayed the virus.,"1926, 1979","16, 106",Infected documents are sent as attachments to e-mails,-- A new computer virus can allow documents to be e-mailed to other people without warning,0,0.5057025
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990424.0095,1872,"Unlike the recent ``Melissa'' scare, which automatically propagated via e-mail, this virus doesn't spread as quickly because it requires a person to launch an infected program file to contaminate a computer.","1902, 1907;1915, 1950","16, 106",scare...automatically propagated via e-mail,-- A new computer virus can allow documents to be e-mailed to other people without warning,0,0.57426864
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.","108, 135;141, 180","108, 135;141, 180",a potential security breach...should worry businesses and governments,a potential security breach...should worry businesses and governments,0,0.7268252
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990611.0152,1676,That is particularly threatening for companies where workers regularly zip e-mails back and forth.,"1676, 1722","108, 135;141, 180",That is particularly threatening for companies,a potential security breach...should worry businesses and governments,0,0.5982301
D0629B,APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.",APW19990327.0116,0,"PITTSBURGH (AP) -- A new computer virus can allow documents to be e-mailed to other people without warning, a potential security breach that should worry businesses and governments, an expert at Carnegie Mellon University said Saturday.","182, 236","182, 236",an expert at Carnegie Mellon University said Saturday.,an expert at Carnegie Mellon University said Saturday.,0,0.7272477
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.","268, 331","268, 331",Melissa virus spreads via infected e-mail and attacks computers,Melissa virus spreads via infected e-mail and attacks computers,0,0.7301305
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",APW19990330.0202,0,"NEW YORK (AP) -- Several mutations of the fast-moving computer virus called Melissa surfaced in cyberspace Tuesday, but researchers said none seems to be as effective as the original in clogging e-mail systems.","38, 114","268, 331",the fast-moving computer virus called Melissa surfaced in cyberspace Tuesday,Melissa virus spreads via infected e-mail and attacks computers,0,0.55946976
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",APW19990611.0152,2973,"Worm.Explore.Zip is the third major bug to sweep across the Internet since late March, when the Melissa virus overwhelmed systems with floods of e-mail.","3065, 3125","268, 331",the Melissa virus overwhelmed systems with floods of e-mail.,Melissa virus spreads via infected e-mail and attacks computers,0,0.54090023
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",NYT19990609.0213,709,Many more computers may have since picked up the virus.,"709, 728;744, 764","268, 331",Many more computers...picked up the virus.,Melissa virus spreads via infected e-mail and attacks computers,0,0.5114187
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",NYT19990609.0213,990,Melissa  HOW IT WORKS: Makes its way into computers as an e-mail attachment and then sends itself around the Internet using addresses found in a recipient's computerized address book.,"990, 1011;1013, 1065","268, 331",Melissa  HOW IT WORKS...Makes its way into computers as an e-mail attachment,Melissa virus spreads via infected e-mail and attacks computers,0,0.5020873
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",XIE19991216.0330,300,"But the press report said that the virus had entered the network through an E-mail message several days ago and broke out on Monday, December 13.","304, 431","268, 331",the press report said that the virus had entered the network through an E-mail message several days ago and broke out on Monday,Melissa virus spreads via infected e-mail and attacks computers,0,0.50846905
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.","314, 397","314, 397",attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs,attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs,0,0.7216171
D0629B,APW19990327.0116,237,"The ``Melissa macro'' or W97M--Melissa virus spreads via infected e-mail and attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs, according to CERT -- or Computer Emergency Response Team -- Carnegie Mellon's Department of Defense-funded computer security team.",NYT19990331.0219,1697,Melissa typically enters a computer hidden in a Microsoft Word 97 or Word 2000 file attached to an electronic mail message.,"1697, 1780","314, 397",Melissa typically enters a computer hidden in a Microsoft Word 97 or Word 2000 file,attacks computers loaded with Microsoft's widely used Word 97 or Word 2000 programs,0,0.59148866
