topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","18, 20;25, 92;99, 122","18, 20;25, 92;99, 122",AP...President Clinton turned the attention of his national poverty tour...to arguably the poorest,AP...President Clinton turned the attention of his national poverty tour...to arguably the poorest,0,0.7285037
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","18, 20;25, 92;99, 122","18, 20;99, 152",AP...President Clinton turned the attention of his national poverty tour...to arguably the poorest,"AP...to arguably the poorest, most forgotten U.S. citizens",0,0.5736369
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","18, 20;99, 152","18, 20;99, 152","AP...to arguably the poorest, most forgotten U.S. citizens","AP...to arguably the poorest, most forgotten U.S. citizens",0,0.71435905
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","124, 160","18, 20;99, 152",most forgotten U.S. citizens of them,"AP...to arguably the poorest, most forgotten U.S. citizens",0,0.61148113
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","18, 20;99, 152","124, 160","AP...to arguably the poorest, most forgotten U.S. citizens",most forgotten U.S. citizens of them,0,0.5829906
D0601A,APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.",APW19990707.0181,17,"(AP) -- President Clinton turned the attention of his national poverty tour today to arguably the poorest, most forgotten U.S. citizens of them all: American Indians.","124, 160","124, 160",most forgotten U.S. citizens of them,most forgotten U.S. citizens of them,0,0.69515526
D0601A,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,"184, 366","184, 366",Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,0,0.74458927
D0601A,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,"184, 191;277, 366","184, 366",Clinton...to participate in a conference on Native American homeownership and economic development.,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,0,0.71915984
D0601A,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,"184, 366","184, 191;277, 366",Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,Clinton...to participate in a conference on Native American homeownership and economic development.,0,0.6965495
D0601A,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,APW19990707.0181,184,Clinton was going to the Pine Ridge Reservation for a visit with the Oglala Sioux nation and to participate in a conference on Native American homeownership and economic development.,"184, 191;277, 366","184, 191;277, 366",Clinton...to participate in a conference on Native American homeownership and economic development.,Clinton...to participate in a conference on Native American homeownership and economic development.,0,0.72833943
